"ID","Player","Team","Position","Rk","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros%","+/-"
"*03wr9*","Ezekiel Elliott","DAL","RB","49","YON","26","PHI Mon 8:15PM","63","AUCT","17.7","7","100%","0%"
"*048vl*","Dalvin Cook","MIN","RB","50","CR","26","SEA Sun 4:25PM","76","TAGGED","17.55","7","100%","0%"
"*040qg*","J.D. McKissic","WAS","RB","51","HAR","28","@BUF Sun 1:00PM","5","WAVR","17.55","9","83%","+13%"
"*01tmq*","Rob Gronkowski","TB","TE","52","OAK","32","@LAR Sun 4:25PM","6","WAVR","17.4","9","99%","+0.4%"
"*048vk*","Nick Chubb","CLE","RB","53","LIC","25","CHI Sun 1:00PM","18","1YR","17.3","13","100%","0%"
"*04mp8*","D.J. Moore","CAR","WR","54","OAK","24","CAR 24<br/>@HOU 9 F","57","1YR","17.15","13","100%","0%"
"*03cd5*","Brandin Cooks","HOU","WR","55","FLU","28","CAR 24<br/>@HOU 9 F","20","1YR","17.05","10","98%","+0.7%"
"*04cl4*","Austin Ekeler","LAC","RB","56","OAK","26","@KC Sun 1:00PM","50","1YR","17","7","100%","0%"
"*05jdk*","K.J. Osborn","MIN","WR","57","MARS","24","SEA Sun 4:25PM","4","WAVR","16.85","7","58%","+31.8%"
"*05rlw*","Najee Harris","PIT","RB","58","HAR","23","CIN Sun 1:00PM","20","ROOK","16.35","7","99%","0%"
"*04ytp*","Darrell Henderson","LAR","RB","59","VA","24","TB Sun 4:25PM","17","AUCT","16.2","11","99%","-0.2%"
"*04chz*","Chris Carson","SEA","RB","60","FLU","27","@MIN Sun 4:25PM","42","1YR","15.85","9","100%","0%"
"*04yne*","T.J. Hockenson","DET","TE","61","OAK","24","BAL Sun 1:00PM","11","1YR","15.6","9","99%","+0.1%"
"*05gux*","Michael Pittman","IND","WR","62","LIC","23","@TEN Sun 1:00PM","15","1YR","15.55","14","93%","+2.4%"
"*04mte*","Daniel Carlson","LV","K","63","YON","26","MIA Sun 4:05PM","1","WAVR","15.5","8","73%","+16.3%"
"*03ce8*","Davante Adams","GB","WR","64","LIC","28","@SF Sun 8:20PM","68","AUCT","15.35","13","100%","0%"
"*05gtu*","Joe Burrow","CIN","QB","65","VA","24","@PIT Sun 1:00PM","21","1YR","15.35","10","96%","-1.9%"
"*023wc*","Julio Jones","TEN","WR","66","YON","32","IND Sun 1:00PM","31","AUCT","15.3","13","99%","0%"
"*03cga*","James White","NE","RB","67","OAK","29","NO Sun 1:00PM","1","WAVR","15","14","86%","+5.1%"
"*040ha*","Dak Prescott","DAL","QB","68","HAR","28","PHI Mon 8:15PM","42","1YR","14.9","7","100%","0%"
"*05guo*","Zack Moss","BUF","RB","69","MARS","23","WAS Sun 1:00PM","4","WAVR","14.9","7","91%","+3.9%"
"*04yp8*","Devin Singletary","BUF","RB","70","FLU","24","WAS Sun 1:00PM","8","AUCT","14.85","7","97%","+1.2%"
"*04mo8*","Calvin Ridley","ATL","WR","71","GK","26","@NYG Sun 1:00PM","56","AUCT","14.8","6","100%","0%"
"*05gu5*","Justin Jefferson","MIN","WR","72","LIC","22","SEA Sun 4:25PM","9","3YR","14.5","7","100%","0%"
"*02jca*","Randy Bullock","TEN","K","73","FA","31","IND Sun 1:00PM","1","WAVR","14.5","13","8%","+3.2%"
"*04otm*","Byron Pringle","KC","WR","74","FA","27","LAC Sun 1:00PM","1","WAVR","14.22","12","18%","+2%"
"*04cdb*","Chris Godwin","TB","WR","75","NE","25","@LAR Sun 4:25PM","29","AUCT","14.2","9","100%","0%"
"*04ze8*","Diontae Johnson","PIT","WR","76","GK","25","CIN Sun 1:00PM","29","1YR","14","7","99%","-0.2%"
"*05gvd*","Quintez Cephus","DET","WR","77","LIC","23","BAL Sun 1:00PM","5","WAVR","13.8","9","50%","+25.9%"
"*03ol4*","Stefon Diggs","BUF","WR","78","CR","27","WAS Sun 1:00PM","42","2YR","13.75","7","100%","0%"
"*04ynu*","Damien Harris","NE","RB","79","CR","24","NO Sun 1:00PM","16","1YR","13.65","14","99%","-0.1%"
"*20310#1090*","San Francisco","null","DST","80","FA","","GB Sun 8:20PM","1","WAVR","13.6","6","91%","-3.3%"
"*02jcd*","Marvin Jones","JAX","WR","81","YON","31","ARI Sun 1:00PM","1","WAVR","13.5","7","93%","+1.9%"
