"ID","Player","Team","Position","Rk","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros%","+/-"
"*050rw*","Gunner Olszewski","NE","WR","578","FA","24","NO Sun 1:00PM","1","WAVR","0","14","2%","-0.1%"
"*03ol8*","Brett Hundley","IND","QB","579","FA","28","@TEN Sun 1:00PM","1","WAVR","0","14","2%","+1.4%"
"*03cjz*","Trey Burton","(N/A)","TE","580","FA","29","Bye","1","WAVR","0","","2%","0%"
"*02ac1*","Dan Bailey","(N/A)","K","581","FA","33","Bye","1","WAVR","0","","2%","-0.1%"
"*04zea*","KeeSean Johnson","PHI","WR","582","FA","24","@DAL Mon 8:15PM","1","WAVR","0","14","2%","0%"
"*05rkg*","Sammis Reyes","WAS","TE","583","FA","25","@BUF Sun 1:00PM","1","WAVR","0","9","2%","-0.1%"
"*04t3w*","Khadarel Hodge","DET","WR","584","FA","26","BAL Sun 1:00PM","1","WAVR","0","9","2%","-0.2%"
"*05rr4*","Racey McMath","TEN","WR","585","FA","22","IND Sun 1:00PM","1","WAVR","0","13","2%","-0.1%"
"*04ojm*","Logan Woodside","TEN","QB","586","FA","26","IND Sun 1:00PM","1","WAVR","0","13","2%","+0.1%"
"*04cdj*","D'Onta Foreman","(N/A)","RB","587","FA","25","Bye","1","WAVR","0","","2%","-0.1%"
"*04zf2*","Trace McSorley","BAL","QB","588","FA","26","@DET Sun 1:00PM","1","WAVR","0","8","1%","0%"
"*04czi*","Cooper Rush","DAL","QB","589","FA","27","PHI Mon 8:15PM","1","WAVR","0","7","1%","-0.1%"
"*04zux*","Kahale Warring","BUF","TE","590","FA","24","WAS Sun 1:00PM","1","WAVR","0","7","1%","-0.1%"
"*05jn2*","Hunter Bryant","DET","TE","591","FA","23","BAL Sun 1:00PM","1","WAVR","0","9","1%","0%"
"*050d9*","Tyree Jackson","PHI","TE","592","FA","23","@DAL Mon 8:15PM","1","WAVR","0","14","1%","0%"
"*04msz*","Durham Smythe","MIA","TE","593","FA","26","@LV Sun 4:05PM","1","WAVR","0","14","1%","0%"
"*04mqn*","Josh Adams","NYJ","RB","594","FA","24","@DEN Sun 4:05PM","1","WAVR","0","6","1%","-0.1%"
"*05rsi*","Dax Milne","WAS","WR","595","FA","22","@BUF Sun 1:00PM","1","WAVR","0","9","1%","0%"
"*05rz5*","Tre Harbison","CLE","RB","596","FA","23","CHI Sun 1:00PM","1","WAVR","0","13","1%","0%"
"*05jdp*","Jake Luton","SEA","QB","597","FA","25","@MIN Sun 4:25PM","1","WAVR","0","9","1%","0%"
"*04mq8*","Dante Pettis","NYG","WR","598","FA","25","ATL Sun 1:00PM","1","WAVR","0","10","1%","0%"
"*04ynv*","Kelvin Harmon","(N/A)","WR","599","FA","24","Bye","1","WAVR","0","","1%","-0.1%"
"*04cc4*","Adam Shaheen","MIA","TE","600","FA","26","@LV Sun 4:05PM","1","WAVR","0","14","1%","-0.1%"
"*02zsa*","Tyler Eifert","(N/A)","TE","601","FA","31","Bye","1","WAVR","0","","1%","-0.1%"
"*05qzq*","J.J. Molson","GB","K","602","FA","24","@SF Sun 8:20PM","1","WAVR","0","13","1%","-0.1%"
"*05rr8*","Jalen Camp","HOU","WR","603","FA","23","CAR 24<br/>@HOU 9 F","1","WAVR","0","10","1%","-0.1%"
"*03cme*","Allen Hurns","MIA","WR","604","FA","29","@LV Sun 4:05PM","1","WAVR","0","14","1%","0%"
"*04yo3*","Riley Ridley","(N/A)","WR","605","FA","25","Bye","1","WAVR","0","","1%","-0.1%"
"*040zu*","C.J. Ham","MIN","RB","606","FA","28","SEA Sun 4:25PM","1","WAVR","0","7","1%","0%"
"*05rxy*","Trey Ragas","LV","RB","607","FA","24","MIA Sun 4:05PM","1","WAVR","0","8","1%","-0.1%"
"*05jf9*","Sam Sloman","PIT","K","608","FA","24","CIN Sun 1:00PM","1","WAVR","0","7","1%","0%"
"*02zss*","Geno Smith","SEA","QB","609","FA","30","@MIN Sun 4:25PM","1","WAVR","0","9","1%","0%"
"*05075*","Alec Ingold","LV","RB","610","FA","25","MIA Sun 4:05PM","1","WAVR","0","8","1%","+0.1%"
"*05jwo*","Antonio Williams","BUF","RB","611","FA","23","WAS Sun 1:00PM","1","WAVR","0","7","1%","+0.1%"
"*040hx*","Jonathan Williams","WAS","RB","612","FA","27","@BUF Sun 1:00PM","1","WAVR","0","9","1%","0%"
"*05rvl*","Stevie Scott","(N/A)","RB","613","FA","21","Bye","1","WAVR","0","","1%","0%"
"*05ruo*","Rakeem Boyd","DET","RB","614","FA","0","BAL Sun 1:00PM","1","WAVR","0","9","1%","0%"
"*05rwg*","Zach Davidson","MIN","TE","615","FA","23","SEA Sun 4:25PM","1","WAVR","0","7","1%","0%"
"*05rus*","Jonathan Adams","(N/A)","WR","616","FA","22","Bye","1","WAVR","0","","1%","0%"
"*04cq2*","Nick Mullens","(N/A)","QB","617","FA","26","Bye","1","WAVR","0","","1%","0%"
"*040ji*","Jeff Driskel","HOU","QB","618","FA","28","CAR 24<br/>@HOU 9 F","1","WAVR","0","10","1%","+0.2%"
"*03p1a*","Jake Kumerow","BUF","WR","619","FA","29","WAS Sun 1:00PM","1","WAVR","0","7","1%","-0.1%"
"*05guu*","James Morgan","CAR","QB","620","FA","24","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","1%","0%"
"*05rs3*","Tre Nixon","NE","WR","621","FA","23","NO Sun 1:00PM","1","WAVR","0","14","1%","0%"
"*04zca*","Devine Ozigbo","JAX","RB","622","FA","24","ARI Sun 1:00PM","1","WAVR","0","7","1%","-0.1%"
"*05rww*","Tamorrion Terry","(N/A)","WR","623","FA","23","Bye","1","WAVR","0","","1%","-0.1%"
"*05jd6*","Jason Huntley","PHI","RB","624","FA","23","@DAL Mon 8:15PM","1","WAVR","0","14","1%","0%"
"*040ri*","Marcus Johnson","TEN","WR","625","FA","27","IND Sun 1:00PM","1","WAVR","0","13","1%","0%"
"*0036e*","Marcedes Lewis","GB","TE","626","FA","37","@SF Sun 8:20PM","1","WAVR","0","13","1%","0%"
"*05rsa*","Ben Skowronek","LAR","WR","627","FA","24","TB Sun 4:25PM","1","WAVR","0","11","1%","+0.1%"
"*01d5d*","Julian Edelman","(N/A)","WR","628","FA","35","Bye","1","WAVR","0","","1%","-0.1%"
"*04omb*","Reggie Bonnafon","CAR","RB","629","FA","25","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","1%","0%"
"*04ohm*","Justin Watson","TB","WR","630","FA","26","@LAR Sun 4:25PM","1","WAVR","0","9","1%","0%"
"*04zcu*","Hakeem Butler","(N/A)","TE","631","FA","25","Bye","1","WAVR","0","","1%","-0.1%"
"*04mow*","Antonio Callaway","KC","WR","632","FA","24","LAC Sun 1:00PM","1","WAVR","0","12","1%","0%"
"*023wg*","Garrett Gilbert","NE","QB","633","FA","30","NO Sun 1:00PM","1","WAVR","0","14","1%","0%"
"*040je*","Mike Thomas","CIN","WR","634","FA","27","@PIT Sun 1:00PM","1","WAVR","0","10","1%","+0.1%"
"*05je4*","Dezmon Patmon","IND","WR","635","FA","23","@TEN Sun 1:00PM","1","WAVR","0","14","1%","0%"
"*002d7*","Stephen Gostkowski","(N/A)","K","636","FA","37","Bye","1","WAVR","0","","1%","-0.2%"
"*04ynl*","Will Grier","(N/A)","QB","637","FA","26","Bye","1","WAVR","0","","1%","0%"
"*04msu*","Daurice Fountain","KC","WR","638","FA","25","LAC Sun 1:00PM","1","WAVR","0","12","1%","0%"
"*040sn*","Geronimo Allison","DET","WR","639","FA","27","BAL Sun 1:00PM","1","WAVR","0","9","1%","0%"
"*03oi2*","Devin Smith","JAX","WR","640","FA","29","ARI Sun 1:00PM","1","WAVR","0","7","1%","0%"
"*040k6*","Dwayne Washington","NO","RB","641","FA","27","@NE Sun 1:00PM","1","WAVR","0","6","1%","-0.3%"
"*03olq*","Jesse James","CHI","TE","642","FA","27","@CLE Sun 1:00PM","1","WAVR","0","10","1%","0%"
"*04zci*","David Blough","DET","QB","643","FA","26","BAL Sun 1:00PM","1","WAVR","0","9","1%","0%"
"*0419b*","Marvin Hall","NE","WR","644","FA","28","NO Sun 1:00PM","1","WAVR","0","14","1%","0%"
"*01lql*","Brian Hoyer","NE","QB","645","FA","35","NO Sun 1:00PM","1","WAVR","0","14","1%","+0.1%"
"*03cha*","AJ McCarron","ATL","QB","646","FA","31","@NYG Sun 1:00PM","1","WAVR","0","6","1%","0%"
"*05rsm*","Austin Watkins","SF","WR","647","FA","0","GB Sun 8:20PM","1","WAVR","0","6","1%","0%"
"*05t6e*","Nate McCrary","(N/A)","RB","648","FA","22","Bye","1","WAVR","0","","1%","-0.1%"
"*04zgj*","Dexter Williams","(N/A)","RB","649","FA","24","Bye","1","WAVR","0","","1%","0%"
"*04zer*","Patrick Laird","MIA","RB","650","FA","26","@LV Sun 4:05PM","1","WAVR","0","14","1%","0%"
"*02ff5*","Andrew Luck","IND","QB","651","FA","32","@TEN Sun 1:00PM","1","WAVR","0","14","1%","0%"
"*03cfe*","Richard Rodgers","PHI","TE","652","FA","29","@DAL Mon 8:15PM","1","WAVR","0","14","1%","0%"
"*05ryd*","Josh Imatorbhebhe","JAX","WR","653","FA","23","ARI Sun 1:00PM","1","WAVR","0","7","1%","0%"
"*05rvv*","Whop Philyor","MIN","WR","654","FA","23","SEA Sun 4:25PM","1","WAVR","0","7","1%","0%"
"*04zg4*","Tommy Sweeney","BUF","TE","655","FA","26","WAS Sun 1:00PM","1","WAVR","0","7","1%","-0.1%"
"*050fn*","Malik Taylor","GB","WR","656","FA","25","@SF Sun 8:20PM","1","WAVR","0","13","1%","-0.1%"
"*02jaj*","Lamar Miller","(N/A)","RB","657","FA","30","Bye","1","WAVR","0","","1%","+0.1%"
"*05gvi*","Matt Bushman","LV","TE","658","FA","25","MIA Sun 4:05PM","1","WAVR","0","8","1%","0%"
"*05rub*","Dedrick Mills","(N/A)","RB","659","FA","24","Bye","1","WAVR","0","","1%","0%"
"*05rtr*","JaQuan Hardy","DAL","RB","660","FA","23","PHI Mon 8:15PM","1","WAVR","0","7","1%","0%"
"*04ce6*","Mack Hollins","MIA","WR","661","FA","28","@LV Sun 4:05PM","1","WAVR","0","14","1%","0%"
"*05ryj*","Deon Jackson","IND","RB","662","FA","22","@TEN Sun 1:00PM","1","WAVR","0","14","1%","0%"
"*05jmc*","Scottie Phillips","HOU","RB","663","FA","23","CAR 24<br/>@HOU 9 F","1","WAVR","0","10","1%","-0.1%"
"*05jk9*","Jonathan Ward","ARI","RB","664","FA","23","@JAX Sun 1:00PM","1","WAVR","0","12","1%","0%"
"*05rya*","Tarik Black","IND","WR","665","FA","23","@TEN Sun 1:00PM","1","WAVR","0","14","1%","0%"
"*050il*","Easton Stick","LAC","QB","666","FA","26","@KC Sun 1:00PM","1","WAVR","0","7","1%","0%"
"*05jkj*","Rico Dowdle","DAL","RB","667","FA","23","PHI Mon 8:15PM","1","WAVR","0","7","1%","0%"
"*01d09*","LeSean McCoy","(N/A)","RB","668","FA","33","Bye","1","WAVR","0","","1%","-0.1%"
"*05rv8*","Asim Rose","MIN","RB","669","FA","23","SEA Sun 4:25PM","1","WAVR","0","7","1%","0%"
"*05jcx*","Justin Rohrwasser","(N/A)","K","670","FA","24","Bye","1","WAVR","0","","1%","0%"
"*001id*","Greg Olsen","CAR","TE","671","FA","36","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","1%","-0.1%"
"*05gus*","Jared Pinkney","DET","TE","672","FA","24","BAL Sun 1:00PM","1","WAVR","0","9","1%","0%"
"*05rtq*","T.J. Vasher","DAL","WR","673","FA","23","PHI Mon 8:15PM","1","WAVR","0","7","1%","0%"
"*05rtm*","Brenden Knox","(N/A)","RB","674","FA","22","Bye","1","WAVR","0","","1%","0%"
"*05t68*","Jake Verity","BAL","K","675","FA","23","@DET Sun 1:00PM","1","WAVR","0","8","1%","0%"
"*04zfr*","Brett Rypien","DEN","QB","676","FA","25","NYJ Sun 4:05PM","1","WAVR","0","11","1%","0%"
"*04mqd*","Bo Scarbrough","LV","RB","677","FA","24","MIA Sun 4:05PM","1","WAVR","0","8","1%","0%"
"*03wr7*","Laquon Treadwell","JAX","WR","678","FA","26","ARI Sun 1:00PM","1","WAVR","0","7","1%","0%"
"*05jdx*","Charlie Woerner","SF","TE","679","FA","23","GB Sun 8:20PM","1","WAVR","0","6","1%","-0.1%"
"*04ojr*","Ryan Izzo","(N/A)","TE","680","FA","25","Bye","1","WAVR","0","","1%","-0.1%"
"*05rwj*","Jamie Newman","(N/A)","QB","681","FA","23","Bye","1","WAVR","0","","1%","0%"
"*0389g*","Marqise Lee","SF","WR","682","FA","29","GB Sun 8:20PM","1","WAVR","0","6","1%","0%"
"*05rvh*","Riley Patterson","(N/A)","K","683","FA","22","Bye","1","WAVR","0","","1%","0%"
"*04cfn*","Nathan Peterman","LV","QB","684","FA","27","MIA Sun 4:05PM","1","WAVR","0","8","1%","+0.3%"
"*05ry1*","Dillon Stoner","LV","WR","685","FA","23","MIA Sun 4:05PM","1","WAVR","0","8","1%","0%"
"*05jwh*","Dominik Eberle","CAR","K","686","FA","25","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","1%","0%"
"*02ap6*","Kai Forbath","LAR","K","687","FA","34","TB Sun 4:25PM","1","WAVR","0","11","1%","0%"
"*05rsp*","Cary Angeline","(N/A)","TE","688","FA","24","Bye","1","WAVR","0","","1%","0%"
"*04mq9*","Deon Cain","(N/A)","WR","689","FA","25","Bye","1","WAVR","0","","1%","-0.1%"
"*04cfq*","Rodney Adams","CHI","WR","690","FA","27","@CLE Sun 1:00PM","1","WAVR","0","10","1%","-0.1%"
"*05jfj*","LeVante Bellamy","DEN","RB","691","FA","24","NYJ Sun 4:05PM","1","WAVR","0","11","1%","0%"
"*04oyl*","Cameron Batson","TEN","WR","692","FA","25","IND Sun 1:00PM","1","WAVR","0","13","1%","0%"
"*02jah*","Travis Benjamin","SF","WR","693","FA","31","GB Sun 8:20PM","1","WAVR","0","6","1%","0%"
"*03ccn*","Blake Bortles","GB","QB","694","FA","29","@SF Sun 8:20PM","1","WAVR","0","13","1%","0%"
"*05rtl*","Spencer Brown","CAR","RB","695","FA","22","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","1%","0%"
"*04coy*","Darrell Daniels","ARI","TE","696","FA","26","@JAX Sun 1:00PM","1","WAVR","0","12","1%","0%"
"*050l4*","Jesper Horsted","CHI","TE","697","FA","24","@CLE Sun 1:00PM","1","WAVR","0","10","1%","-0.1%"
"*05jiz*","Austin Mack","NYG","WR","698","FA","24","ATL Sun 1:00PM","1","WAVR","0","10","1%","0%"
"*02ztb*","Vance McDonald","PIT","TE","699","FA","31","CIN Sun 1:00PM","1","WAVR","0","7","1%","-0.1%"
"*05rv6*","Landen Akers","LAR","WR","700","FA","24","TB Sun 4:25PM","1","WAVR","0","11","1%","0%"
"*04orv*","Tim Boyle","DET","QB","701","FA","26","BAL Sun 1:00PM","1","WAVR","0","9","1%","0%"
"*040eb*","Josh Doctson","ARI","WR","702","FA","28","@JAX Sun 1:00PM","1","WAVR","0","12","1%","0%"
"*05rwn*","Trevon Grimes","PHI","WR","703","FA","0","@DAL Mon 8:15PM","1","WAVR","0","14","1%","0%"
"*05rxj*","Quintin Morris","BUF","TE","704","FA","22","WAS Sun 1:00PM","1","WAVR","0","7","1%","0%"
"*04zg1*","Rodney Smith","CAR","RB","705","FA","25","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","1%","0%"
"*05rwt*","Connor Wedington","SEA","WR","706","FA","0","@MIN Sun 4:25PM","1","WAVR","0","9","1%","0%"
"*05jle*","Omar Bayless","CAR","WR","707","FA","24","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","1%","0%"
"*05rqj*","Ben Mason","NE","RB,TE","708","FA","22","NO Sun 1:00PM","1","WAVR","0","14","1%","0%"
"*04cf9*","Jeremy Sprinkle","DAL","TE","709","FA","27","PHI Mon 8:15PM","1","WAVR","0","7","1%","0%"
"*05joj*","Patrick Taylor","GB","RB","710","FA","23","@SF Sun 8:20PM","1","WAVR","0","13","1%","0%"
"*05tza*","Otis Anderson","(N/A)","RB","711","FA","22","Bye","1","WAVR","0","","1%","0%"
"*05t62*","Brian Johnson","CHI","K","712","FA","22","@CLE Sun 1:00PM","1","WAVR","0","10","1%","0%"
"*030ne*","Brett Maher","NO","K","713","FA","31","@NE Sun 1:00PM","1","WAVR","0","6","1%","0%"
"*05rwm*","Jhamon Ausbon","(N/A)","WR","714","FA","22","Bye","1","WAVR","0","","1%","0%"
"*05ry7*","Shane Buechele","KC","QB","715","FA","23","LAC Sun 1:00PM","1","WAVR","0","12","1%","0%"
"*05rtx*","Tory Carter","TEN","RB","716","FA","22","IND Sun 1:00PM","1","WAVR","0","13","1%","0%"
"*05jsv*","Kirk Merritt","MIA","WR","717","FA","24","@LV Sun 4:05PM","1","WAVR","0","14","1%","0%"
"*04ozn*","Ryan Nall","CHI","RB","718","FA","25","@CLE Sun 1:00PM","1","WAVR","0","10","1%","0%"
"*05jsr*","Bryce Perkins","LAR","QB","719","FA","24","TB Sun 4:25PM","1","WAVR","0","11","1%","0%"
"*04oyz*","Brandon Powell","MIA","WR","720","FA","26","@LV Sun 4:05PM","1","WAVR","0","14","1%","0%"
"*02zu4*","Jordan Reed","(N/A)","TE","721","FA","31","Bye","1","WAVR","0","","1%","0%"
"*05jff*","Stephen Sullivan","CAR","TE","722","FA","24","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","1%","0%"
"*04cg0*","Trent Taylor","CIN","WR","723","FA","27","@PIT Sun 1:00PM","1","WAVR","0","10","1%","0%"
"*040hn*","DeAndre Washington","(N/A)","RB","724","FA","28","Bye","1","WAVR","0","","1%","0%"
"*03ohz*","T.J. Yeldon","(N/A)","RB","725","FA","27","Bye","1","WAVR","0","","1%","+0.2%"
"*05jep*","Ben DiNucci","DAL","QB","726","FA","24","PHI Mon 8:15PM","1","WAVR","0","7","0%","0%"
"*04pc9*","Jaeden Graham","ATL","TE","727","FA","25","@NYG Sun 1:00PM","1","WAVR","0","6","0%","0%"
"*05gv6*","Trishton Jackson","MIN","WR","728","FA","23","SEA Sun 4:25PM","1","WAVR","0","7","0%","0%"
"*04ze6*","Gary Jennings","IND","WR","729","FA","24","@TEN Sun 1:00PM","1","WAVR","0","14","0%","0%"
"*04zi6*","Jakob Johnson","NE","RB","730","FA","26","NO Sun 1:00PM","1","WAVR","0","14","0%","0%"
"*04ms1*","John Kelly","CLE","RB","731","FA","24","CHI Sun 1:00PM","1","WAVR","0","13","0%","0%"
"*026wq*","Dion Lewis","(N/A)","RB","732","FA","30","Bye","1","WAVR","0","","0%","0%"
"*05jmw*","Artavis Pierce","(N/A)","RB","733","FA","25","Bye","1","WAVR","0","","0%","0%"
"*05rxd*","Tony Poljan","BAL","TE","734","FA","24","@DET Sun 1:00PM","1","WAVR","0","8","0%","0%"
"*05jm6*","Mitchell Wilcox","CIN","TE","735","FA","24","@PIT Sun 1:00PM","1","WAVR","0","10","0%","0%"
"*02zrx*","Tavon Austin","JAX","WR","736","FA","31","ARI Sun 1:00PM","1","WAVR","0","7","0%","0%"
"*02zul*","Matt Barkley","TEN","QB","737","FA","31","IND Sun 1:00PM","1","WAVR","0","13","0%","0%"
"*01tlz*","Dez Bryant","(N/A)","WR","738","FA","32","Bye","1","WAVR","0","","0%","0%"
"*05ru7*","Rico Bussey","PIT","WR","739","FA","23","CIN Sun 1:00PM","1","WAVR","0","7","0%","0%"
"*04osm*","Dontrell Hilliard","(N/A)","RB","740","FA","26","Bye","1","WAVR","0","","0%","-0.1%"
"*05rw0*","Alex Kessman","(N/A)","K","741","FA","23","Bye","1","WAVR","0","","0%","0%"
"*05rtj*","CJ Marable","(N/A)","RB","742","FA","24","Bye","1","WAVR","0","","0%","0%"
"*05rwi*","Jack Stoll","PHI","TE","743","FA","23","@DAL Mon 8:15PM","1","WAVR","0","14","0%","+0.1%"
"*01xfw*","Delbert Alvarado","(N/A)","K","744","FA","32","Bye","1","WAVR","0","","0%","-0.1%"
"*04yo2*","Ryan Finley","(N/A)","QB","745","FA","26","Bye","1","WAVR","0","","0%","0%"
"*04ypd*","Zach Gentry","PIT","TE","746","FA","25","CIN Sun 1:00PM","1","WAVR","0","7","0%","0%"
"*04zdv*","Penny Hart","SEA","WR","747","FA","25","@MIN Sun 4:25PM","1","WAVR","0","9","0%","0%"
"*04cgp*","DeAngelo Henderson Sr.","(N/A)","RB","748","FA","28","Bye","1","WAVR","0","","0%","0%"
"*04cjq*","Johnny Mundt","LAR","TE","749","FA","26","TB Sun 4:25PM","1","WAVR","0","11","0%","0%"
"*05rvd*","Blake Proehl","MIN","WR","750","FA","0","SEA Sun 4:25PM","1","WAVR","0","7","0%","0%"
"*04mps*","Trey Quinn","LV","WR","751","FA","25","MIA Sun 4:05PM","1","WAVR","0","8","0%","0%"
"*03cwh*","Seth Roberts","GB","WR","752","FA","30","@SF Sun 8:20PM","1","WAVR","0","13","0%","0%"
"*04yp7*","David Sills","NYG","WR","753","FA","25","ATL Sun 1:00PM","1","WAVR","0","10","0%","0%"
"*05ryc*","Tyler Vaughns","PIT","WR","754","FA","24","CIN Sun 1:00PM","1","WAVR","0","7","0%","0%"
"*05jnp*","Isaiah Wright","(N/A)","WR","755","FA","24","Bye","1","WAVR","0","","0%","0%"
"*05j71*","Lirim Hajrullahu","(N/A)","K","756","FA","31","Bye","1","WAVR","0","","0%","0%"
"*05ru1*","Blake Haubeil","(N/A)","K","757","FA","0","Bye","1","WAVR","0","","0%","0%"
"*040yf*","Jon Brown","JAX","K","758","FA","28","ARI Sun 1:00PM","1","WAVR","0","7","0%","0%"
"*04chk*","Noah Brown","DAL","WR","759","FA","25","PHI Mon 8:15PM","1","WAVR","0","7","0%","0%"
"*04cev*","Joshua Dobbs","PIT","QB","760","FA","26","CIN Sun 1:00PM","1","WAVR","0","7","0%","0%"
"*04msj*","Robert Foster","DAL","WR","761","FA","27","PHI Mon 8:15PM","1","WAVR","0","7","0%","0%"
"*05jrp*","Aaron Fuller","SEA","WR","762","FA","23","@MIN Sun 4:25PM","1","WAVR","0","9","0%","0%"
"*029tq*","Dontrelle Inman","WAS","WR","763","FA","32","@BUF Sun 1:00PM","1","WAVR","0","9","0%","0%"
"*050jv*","Tom Kennedy","DET","WR","764","FA","25","BAL Sun 1:00PM","1","WAVR","0","9","0%","0%"
"*05rur*","Javon McKinley","DET","WR","765","FA","23","BAL Sun 1:00PM","1","WAVR","0","9","0%","0%"
"*040g7*","C.J. Prosise","(N/A)","RB","766","FA","27","Bye","1","WAVR","0","","0%","0%"
"*05gvh*","Nate Stanley","(N/A)","QB","767","FA","24","Bye","1","WAVR","0","","0%","0%"
"*05gst*","Chris Streveler","ARI","QB","768","FA","26","@JAX Sun 1:00PM","1","WAVR","0","12","0%","0%"
"*05gvf*","Binjimen Victor","BAL","WR","769","FA","24","@DET Sun 1:00PM","1","WAVR","0","8","0%","0%"
"*04msd*","Javon Wims","(N/A)","WR","770","FA","27","Bye","1","WAVR","0","","0%","0%"
"*0500b*","Khari Blasingame","TEN","RB","771","FA","25","IND Sun 1:00PM","1","WAVR","0","13","0%","0%"
"*04zcs*","Jake Browning","CIN","QB","772","FA","25","@PIT Sun 1:00PM","1","WAVR","0","10","0%","0%"
"*05jf4*","Tyrie Cleveland","DEN","WR","773","FA","24","NYJ Sun 4:05PM","1","WAVR","0","11","0%","0%"
"*04zd3*","Damarea Crockett","DEN","RB","774","FA","23","NYJ Sun 4:05PM","1","WAVR","0","11","0%","+0.1%"
"*040h0*","Tyler Ervin","GB","RB","775","FA","27","@SF Sun 8:20PM","1","WAVR","0","13","0%","0%"
"*04chb*","Isaiah Ford","MIA","WR","776","FA","25","@LV Sun 4:05PM","1","WAVR","0","14","0%","0%"
"*05t5v*","Josh Johnson","SEA","RB","777","FA","23","@MIN Sun 4:25PM","1","WAVR","0","9","0%","0%"
"*05jh7*","Gabe Nabers","LAC","RB","778","FA","23","@KC Sun 1:00PM","1","WAVR","0","7","0%","0%"
"*045oa*","Troymaine Pope","TB","RB","779","FA","27","@LAR Sun 4:25PM","1","WAVR","0","9","0%","0%"
"*05rxl*","John Raine","ATL","RB,TE","780","FA","23","@NYG Sun 1:00PM","1","WAVR","0","6","0%","0%"
"*04zfu*","Jordan Scarlett","(N/A)","RB","781","FA","25","Bye","1","WAVR","0","","0%","0%"
"*05rxr*","Pro Wells","(N/A)","TE","782","FA","0","Bye","1","WAVR","0","","0%","0%"
"*05jkh*","Darius Anderson","(N/A)","RB","783","FA","24","Bye","1","WAVR","0","","0%","0%"
"*02jri*","Brandon Bolden","NE","RB","784","FA","31","NO Sun 1:00PM","1","WAVR","0","14","0%","0%"
"*040gy*","Pharoh Cooper","(N/A)","WR","785","FA","26","Bye","1","WAVR","0","","0%","0%"
"*05gv2*","Quartney Davis","IND","WR","786","FA","23","@TEN Sun 1:00PM","1","WAVR","0","14","0%","0%"
"*05jej*","Tyler Davis","IND","TE","787","FA","24","@TEN Sun 1:00PM","1","WAVR","0","14","0%","0%"
"*04zjn*","Elliott Fry","(N/A)","K","788","FA","26","Bye","1","WAVR","0","","0%","0%"
"*05js1*","De'Michael Harris","(N/A)","WR","789","FA","23","Bye","1","WAVR","0","","0%","0%"
"*04ouc*","Keith Kirkwood","CAR","WR","790","FA","26","CAR 24<br/>@HOU 9 F","1","WAVR","0","13","0%","0%"
"*04cg4*","Elijah McGuire","KC","RB","791","FA","27","LAC Sun 1:00PM","1","WAVR","0","12","0%","0%"
"*05jkm*","Sean McKeon","DAL","TE","792","FA","23","PHI Mon 8:15PM","1","WAVR","0","7","0%","0%"
"*05ruj*","Isaiah McKoy","(N/A)","WR","793","FA","0","Bye","1","WAVR","0","","0%","0%"
"*05jnb*","Sandro Platzgummer","NYG","RB","794","FA","24","ATL Sun 1:00PM","1","WAVR","0","10","0%","0%"
"*002vh*","Alex Smith","(N/A)","QB","795","FA","37","Bye","1","WAVR","0","","0%","0%"
"*040ix*","Nate Sudfeld","SF","QB","796","FA","27","GB Sun 8:20PM","1","WAVR","0","6","0%","0%"
"*04cej*","Ryan Switzer","CLE","WR","797","FA","26","CHI Sun 1:00PM","1","WAVR","0","13","0%","0%"
"*05rsz*","Austin Trammell","ATL","WR","798","FA","23","@NYG Sun 1:00PM","1","WAVR","0","6","0%","0%"
"*04zg9*","John Ursua","SEA","WR","799","FA","27","@MIN Sun 4:25PM","1","WAVR","0","9","0%","0%"
"*05jgs*","Michael Warren","(N/A)","RB","800","FA","22","Bye","1","WAVR","0","","0%","0%"
"*04ype*","Mike Weber","NYG","RB","801","FA","24","ATL Sun 1:00PM","1","WAVR","0","10","0%","0%"
"*04mrq*","Mike White","NYJ","QB","802","FA","26","@DEN Sun 4:05PM","1","WAVR","0","6","0%","0%"
"*05028*","Matthew Wright","(N/A)","K","803","FA","25","Bye","1","WAVR","0","","0%","0%"
"*05rzy*","Shane Zylstra","DET","TE","804","FA","24","BAL Sun 1:00PM","1","WAVR","0","9","0%","0%"
"*03p6k*","Daniel Brown","NYJ","WR,TE","805","FA","29","@DEN Sun 4:05PM","1","WAVR","0","6","0%","0%"
"*0500d*","Brandon Dillon","MIN","TE","806","FA","24","SEA Sun 4:25PM","1","WAVR","0","7","0%","0%"
"*04d2t*","Trey Edmunds","PIT","RB","807","FA","26","CIN Sun 1:00PM","1","WAVR","0","7","0%","0%"
"*05jro*","Anthony Gordon","(N/A)","QB","808","FA","25","Bye","1","WAVR","0","","0%","0%"
"*04zdq*","Derrick Gore","KC","RB","809","FA","26","LAC Sun 1:00PM","1","WAVR","0","12","0%","0%"
"*04ceu*","Chad Hansen","(N/A)","WR","810","FA","26","Bye","1","WAVR","0","","0%","0%"
